variable_1,variable_2
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Àmúlùmálà apakòkòrò kan, ZMapp, ṣàfihàn ìlérí ní pápá, ṣùgbọ́n àwọn ẹ̀kọ́ ti tẹ́lẹ́ tóka pé o ní àǹfàní tó kéré láti dènà ikú."
"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",Ní ìtọ́wò PALM ZMapp jẹ́ gẹ́gẹ́ bí ìṣàkóso o túmọ̀ si wípé àwọn onímọ̀ sayensi fi ṣe gbendeke wọ́n dẹ̀ fi wé àwọn ogun mẹ́ta ìyóku.
USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"Ẹgbẹ́ Ajìjàkadi ilẹ̀ Àmẹ́ríkà fọwọ́ sí lẹtà ìgbìmọ̀ Olympics, wọ́n sì gbà á wọlé pé Àpapọ̀-Ebi-Olympics nilò láti rí dájú pé wọ́n pèsè àyíká tí ó dára fún àwọn oníjàkadì/asáré-ìje wa gbogbo."
"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","A gba ọ̀rọ̀ USOC pé a lẹ̀ sin ànfàní àwọn eléré ìdárayá wa àti àwọn ẹgbe ìdárayá, àti eré ìdárayá wọn tí a bá tẹ̀síwájú pẹ̀lú ayipada tó ní túmọ̀ ní ilé ìṣe wa, ju yiyo ìwé aṣe kuro."
USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,Eréje Gymnastics ti ilẹ̀ USA sàtìlẹyìn fún ìwádìí olómìnira tí ó lè tan ìmọ́lẹ̀ lórí àsìlò ìpín ní àwọn tó móríye ìsẹ̀lẹ̀ Larry Nassar sàpéjúwe pẹ̀lú akitiyan. ní kò bá ti lọ láì rí fún ọjọ́ pípẹ́ àti gbígba àwọn àyípadà tó yẹ.
"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","Àwọn Asángun ilẹ̀ USA ati USOC ní àfojúsùn kanáà — èyí tó mún kí ààbò eré ìdárayá ìsangun àtawọn míran wà fáwọn eléréje láti le ma siṣẹ́ tọ àlá wọn ní àyíká tó láàbò, tó dára tó sì seégbé."
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","Ni gbogbo 1960S Bresinski sise fun Johannu F Kenedi gege bi onimoran re, o tun sise fun isakoso Lindoni B Jonsin."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","Lákòókò ìsàlẹ́ṣà ọdún 1976, ó gba Carter nímọ̀ràn lórí ilẹ̀ òkèrè, lẹ́yìn èyí ó jẹ́ olùdámọ̀ràn ààbò àpapọ̀ (NSA) láti ọdún 1977 sí 1981, ẹni tó gbapò Henry Kissinger."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","Bi i NSA, ó ran Carter lọ́wọ́ ní yíyanjú Ètò Àgbáyé, bí i Camp David Accords ti ọdún 1978; mímú áyípadà bá àjọsepọ̀ ilẹ̀ US–China ní ọwọ ìparí 1970s; Ìjagbara àwọn ilẹ̀ Iran tí ó yorí sí rògbòdìyàn ìdógo àwọn Iran ní ọdún, 1979; àti yíyalu àwọn Soviet ní Afghanistan ní ọdún 1979."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",Fíìmú tó sàfihàn Ryan Gosling àti Emma Stone gba yíyàn nì gbogbo éka pàtàkì.
Gosling and Stone received nominations for Best Actor and Actress respectively.,Goslini àti Okuta yege fún ìbò Eléré Ọkùnrin àti Eléré Obinrin ní kọ̀kan wọn.
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","Awọn ìsọ̀rí mìíràn ni, Àwòrán tó dára jù, Olùdarí, Àyàwòrán, Aṣaralóge, Asàtúntò-Fíìmù, Aṣàtúntò ohùn, Apohùnpọ̀, àti Akọ̀tà."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","Orin méjì látinú àgbéléwò, ìdánwò (Àwọn òmùgọ̀ tó ń lá àlá) àti ìlú àwọn ìràwọ̀ ni wọ́n mún fún orin ojúlówó tó dára jù. ilé ìsiṣẹ́ Lionsgate ló gba ìyànsípò mẹ́rìndínlọ́gbọ̀n — jú àwọn ilé ìsiṣẹ̀ mìíràn lọ."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","Ní alẹ́ ọjọ́ àìkú, àrẹ oríll èdè Amẹ́ríkà Donald Trump, ní ọ̀rọ̀ rẹ̀ tí ó sọ nípasẹ̀ ọ̀gá oníròyìn, kéde pé àwọn ọmọ ogun US ma fi ìlú Syria sílẹ̀."
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,Won se ikede naa leyin ti Trumpi ba Aare Toki Resep Tayipi Edogani lori ago.
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.","Turkey yíò pẹ̀lú àmójútó ìdábòbò àwọn ọlótè ISIS tí wọ́n mú, èyí tí àlàyé fi síta , àwọn orílẹ̀-èdè Yúróòpù tí kọ̀ jálè láti fi ipá gbé padà sí ìlú wọn."
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.","Èyì kò ṣàrídájú pé ó kéré jù àwọn dinosaurs ní ìyẹ́,ọ̀rọ̀ tó dájú tí ó ti tànká, ṣùgbọ́n ó pèsè ẹ̀kúnrẹ́rẹ́ àlàyé egungun ẹranko dinosaurs bíi àwọ́ àti títò lanà mẹt."
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,Awon onimo sayensi wipe iye eranko naa je awo sesnut- burawuni lori pelu awo sisi tabi awo-karotenoidi labe.
The find also grants insight into the evolution of feathers in birds.,Wíwá náà tún fúni lóyẹ sí ìtànkálè ti àwọn ìyé nínú ẹyẹ.
"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.","Nítorí ìyẹ́ dánísọ̀̀ kò ní ọpá tó gbó káká, tí wọ́n ń pè ní rachis, ṣùgbọ́n ó ní àwọn àbùdá ìyé mìíràn – barbs àti barbules – àwọn aṣèwádìí sọ ohun tó jọ́ wípé rachis ṣeéṣe kí o jẹ́ àbùdá ìyẹ́ tí ó ti wà tipẹ́ síwájú àwọn ìyók."
"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","Ohun tó dàbí ìyẹ dábàá pé kí wọ́n má lò nínu ọkọ̀ òfurufú ṣùgbọ́n fún títọ́ ara gbígbónà sọ́nà tàbí láti ṣàfihàn. Àwọn aṣèwádìí da lábàá pé, kódà èyí jẹ́ ìrù ọmọ dinosaur, àpẹrẹ rẹ ṣàfihàn ti àgbàlagbà."
"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","Àwọn aṣàwárí dalábàá pé, bí ètí bá jẹ́ ìrù ọmọ dinosaur, àpẹrẹ rẹ̀ ṣàfihàn ti àgbàlagbà kìn ṣe ti ọmọdé."
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.","Àdó olóró tí wọ́n so mọ ọkọ̀ tí wọ́n wa lọ sí àgọ́ àwọn ọlọ́pàá ní Gaziantep, lórílẹ̀èdèTurkey, láàárọ̀ àná pa ọlọ́pàá méjì, tí ó sì ṣe àwọn tó tó ogún léṣe."
The governor's office said nineteen of the injured were police officers.,Ọfíìsì Gómínà sọ pé mọ́kàndínlógún nínú àwọn tí ó fi ara pa jẹ́ ọlọ́pàá.
Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,Ọlọ́pa sọ pé àwọn funra sí ọmọ ogun Daesh (ISIL) fún ìṣẹ̀lẹ̀ ná.
"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.","Wọn rí ìsàmúlò ìlànà kan náà lórí oòrùn bí i ti ìràwọ̀: Ìṣe gbogbo àwọn ìràwọ̀ ni a kíyèsí pé yíyí wọn àti ìse wọn nìkan ni ó ń darí wọn, kò sí nǹkan mìíràn."
"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.","A máà n lo luminositi ati iyipo papọ̀ láti fi mọ onka rosbi irawo, ti o ní Ṣe pẹ̀lú bí olasma Ṣe wàn s."
"The smaller the Rossby number, the less active the star with respect to magnetic reversals.","Bí nọ́ḿbà Rossby bá se kéré tó, bẹ́ẹ̀ náà ni iye ìràwọ̀ kò se ní lágbára sí ní ìtọ́ka sí ìdápadà sẹ́yìn agbérin."
"During his trip, Iwasaki ran into trouble on many occasions.","Nínú ìrìnàjò rẹ´, Iwasaki bọ sínú wàhálà ní ọ̀pọ̀lọpọ ìgbà."
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","Àwọn ajalèlókun ló jàálólè, wọ́n jalè ní Tibet nípa lílo ajá elégbọn, ó sá kúrò nínu ìgbáyàwó rẹ wọ́n sì mu ní India."
The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,Eto 802.11n sise pelu eto igbohun si afefe 2.4Ghz ati 5.0Ghz.
"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.","Èyí yíò fún ní àǹfànni láti padà sẹ́yìn pẹ̀lú 802.11a, 802.11b àti 802.11g, èyí tó pèsè ibùdó o ní rádíò méjì."
The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,Ìyára méjìlélẹ̀gbẹrin ó lé mọ́kànlá ni wọ́n má ń yára jùlọ pẹ̀lú àkọsílẹ̀ tíọ́rì tó gajù jẹ́ ẹgbẹ̀taMbit/s.
"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","Dufaali to ti Ṣe ìgbéyàwó pẹ̀lú Ọmọ méjì o fí bẹ́ẹ̀ dá Mila, ti ìtàn náà tan mó, lọ́rùn."
"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","Nígbà tí a bèrè fún ìdásí, Miller sọ pé, “Mike ma ń sọ̀rọ̀ jù nípa kíkà... Mò ń gbáradìnítorínà mi kò gba ǹkan tí ó sọ.”"
"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.",“A ó tiraka láti gé ohun tí ó ń jáde carbon dioxide lóní ìwọ̀n GDP pẹ̀lú àmì tó farahàn bí yíò bá fi di 2020 láti ìpele 2005 gẹ́gẹ́ bí” Hu se sọ.
"He did not set a figure for the cuts, saying they will be made based on China's economic output.","Kò sàgbékalẹ̀ iye kankan fún ègé náà, sọ pé wọ́n yíò se é ní ìbámu àbájáde ọrọ̀ ajé ilẹ̀ China."
"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""",Hu gba àwọn orílẹ̀èdè tó sẹ̀sẹ̀ ń dàgbà níyànjú láti “kọ ọ̀nà àtijọ́ tí wọ́n má ń ba àyíká jẹ́ saájú kí wọ́n tó tún un se bóbá yá.”
"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""","O fikun pé “kí wọ́n máṣe, síbẹ̀síbẹ̀, wọ́n ma sọ fún láti pọndandan rẹ kọjá ìpele ìdàgbàsóké, ojúṣe àti agbár.”"
The Iraq Study Group presented its report at 12.00 GMT today.,Ẹgbẹ́ aṣèwádìí ilẹ̀ Iraq se àgbékalẹ̀ àbábọ̀ rẹ̀ ní nǹkan bí i aago méjìlá ọ̀sán òní.
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","Ó sèkìlọ̀ wípé kò sií ẹnikẹ́ni tó lè fọwọ́ sọ̀yà wípé ìgbésẹ̀kíìgbésẹ̀ tí ilẹ̀ Iraq bá gbé lásìkò yìí kò lè paná ìjà ẹgbẹ́jẹgbẹ́, làásìgbò tó ń peléke òun èyí tó lẹ̀ mórí lé rògbòdìyàn."
The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,Àbájádẹ bèrè pèlú ìsìpè fún ìjíròrò gbàngba àti ìgbédìdẹ ìpohùnpọ̀ ní orílè-èdè Améríkà nípa àwọn ípinnu tó ní sẹ pélù Ààrin Gúngún Ìlà-oòrùn.
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,Ìjábọ̀ náà jẹ́ ǹkan tó le gan ní gbogbo ẹ̀yà ìlànà tuntun ti àwọn adarí sí ìlú Iraq ó sì sọ pé kí wọ́n yí ọ̀nà padà.
First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,"Ọ̀kan lára àwọn àlàkalẹ̀ méjìdínlọ́gọ́rin ni wípé wọ́n gbọ́dọ̀ gbé ìgbésẹ̀ ìlànà òsèlú kó tó di òpin odún yìí láti le gba ibodè Iraq tako ìdásí tó le, àti sísàtúngbékalẹ̀ àjọsepọ̀ tó dánmọ́rán pẹ̀láwọn alájọgbé."
"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.","Senato to wa lori oye ati Aya Aare Arabirin Kristina Fenandesi de Kisna kede ipe ohun fe wo idije aare ni irole anaa ni La Plata, ilu ti o je 50 kilometers (31 miles) si Bwenos Aresi."
"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.","Arábìnrin Kirchner kéde èróngbà láti díje dunpò ààrẹ ilé ìseré ìtàgé Argentine, ibùdó kanáà tí ó lò fún ìpolongo rẹ̀ fún ìdìbò asòfin gẹ́gẹ́ bí ọmọ ẹgbẹ́ aṣojú ẹkùn Buenos Aires."
"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""","Ìjiyàn náà bẹ̀rẹ̀ láti àríyàn jiyàn lóri owó ìtura àtí àtúnkọ́ ilé ní ìgbà Ọrikénì, tí àwọn konsafetifu tí fi yẹ̀yẹ́ sọ lórúkọ “Ìṣòwò Olinsi Titun Buṣì”."
Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,Ìbániwí tí kò le ti agbára àtúnkọ́lé tí fẹ́ gbé iṣẹ́ àtúnkọ́lé fún àwọn ọmọ ìlú Washington.
Over four million people went to Rome to attend the funeral.,Ó kọjá èyan milionu mẹ́rin tó lọsí Romu fún ìsìnkú náà.
The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,Iye àwọn ènìyàn tí ó péjọ pọ̀ tóbẹ́ẹ̀ gẹ́ tí ó fi jẹ́ pé kò ṣe é ṣe fún gbogbo ènìyàn láti rí àyè wọlé fún ìsìnkú ní ilé ìjọsìn St. Peter.
Several large television screens were installed in various places in Rome to let the people watch the ceremony.,Ọnírúurú àwọn ẹ̀rọ amóhùnmáwòrán tójú wọn tóbi ní a sàfilọ́lẹ̀ káàkiri agbègbè ní ilẹ̀ Roomu láti lè jẹ́ kàwọn ènìyàn wo ayẹyẹ.
"In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.","Ni ọpọ awọn ilu omiran ni Italy ati ni iyoku agbaye, papa julọ ni Poland, iru agbekalẹ bayi wa, eyi ti opolopo eniyan ri."
"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.","Àwọn akọ̀tàn ti se àríwísí àwọn ètò ìmúlò àtẹ̀yìnwá ọ́fíìsì àjọ àpapọ̀ òtẹlẹ̀múyé fún lílo ìsúná rè lòrì àwọn ìsẹ̀lẹ̀ tó rọrùn láti yanjú, ní pàtàkì àwọn ọ̀ràn jíjí ọkọ̀ áyọkẹ́lẹ́ pẹ̀lú èróngbá láti se ìgbélárugẹ fún ódiwọ̀n àsẹyọrì rẹ."
Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,Àpérò bẹ̀rl sí ní kó owó sí obcenity initiative ní fiscal n\i ọdún 2005 ó sì so pé àwọn FBI nílái fi aṣojú mẹ́wàá sílẹ̀ fún fíìmù àgbàlagbà.
"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.",Robin Uthappa wọlé pẹ̀lú góòlù tó ga jùlọ bí i àádọ́rin pẹ̀lú bọ́ọ̀lù mọ́kànlélógì nípa gbígbá mẹ́rin mọ́kànlá àti mẹ́fà méjì.
"Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.","Middle order batsmen, Sachin Tendulkar and Rahul Dravid, ṣe dáadáa tí wọ́n sì ní ọgọ́rùn ún àjọsepọ̀."
"But, after losing the captain's wicket India only made 36 runs loosing 7 wickets to end the innings.",Ṣùgban lẹ́yìn tí wọ́n sọ captain wicket nù India ṣe 36 runs tí wọ́n sì sọ wicket 7 nù láti parí rẹ̀.
"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.","Olori oorilrede U.S to n je George W. Bush de si ilu Singapore ni aro ojo ikerindinlogun ninu osu kokanla, eyi to fi bere awoyika ilu Asia olose kan."
He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,Igbákejì Olórí Singapo Wongi Kani Sengi ló kíi o dẹ̀ sọ̀rọ̀ ní ba isòwò àti ọ̀rọ̀ ìhàlẹ̀ pẹ̀lú Olórí Singapo Lee Hsien Loongi.
"After a week of losses in the midterm election, Bush told an audience about the expansion of trade in Asia.","Lẹ́yin àdánu ọ̀sẹ̀ kan nínú ètò ìdìbò ìdajì sáà, Bush sọ fún àkójọpọ̀ àwọn èro rẹ̀ nípa sísàmúngbòrò kátàkárà ní ilẹ̀ Asia."
"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.","Adari ijọba Stephen Harper ti gba lati fi iwe erongba ijọba lori “Clean Air Act” ranṣẹ si ijoko awon ọmọ ẹgbẹ fun agbeyẹwo, ki oto di kika fun igba elekeji lọyin ipade ọjọ iṣẹgun oni iṣẹju mẹẹdọgbọn pẹlu adari NDP Jack Layton ni PMO."
"Layton had asked for changes to the conservatives' environmental bill during the meeting with the PM, asking for a ""thorough and complete rewriting"" of the Conservative party's environmental bill.","Laytoni ti bèèrè fún àyípadà lórí òfin ìhùwàsí àyíká lákòókò ìpàdé pẹ̀lú PM, bèèrè pé kí wọ́n se àtúnkọ àbádòfin ìhùwà ẹgbẹ́ sí àyíká."
"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.","Láti ìgbà tí ìjọba àpapọ̀ ti gba ìsúná ilé ìwòsàn Mersey tí ó wà ní Devonport, ní Tasmania, ìjọba ìbílẹ̀ àti àwọn Aṣojú ìjọbá àpapọ̀ ti bu ẹnu àtẹ́ lu ìgbésẹ̀ yìí gẹ́gẹ́ bí ètè tí ó ní í ṣe pẹlú ètò ìdìbò tó ń bọ̀ ní oṣù kọkànlá."
"But Prime Minister John Howard has said the act was only to safeguard the facilities of the hospital from being downgraded by the Tasmanian government, in giving an extra AUD$45 million.","Ṣùgbọ́n Mínísítà àgbà, John Howard ti sọ wípé àbá náà wà fún àbò àwọn ohun èlò ilé ìwòsàn náà, kí ìjọba Tasmanian má ba à fi wọ́lẹ̀, ní gbigbé milíọ́nù márùndínlógójì dọ́là sílẹ̀."
"According to the latest bulletin, sea level readings indicated a tsunami was generated. There was some definite tsunami activity recorded near Pago Pago and Niue.","Gẹ́gẹ́ bí ìròyìn tuntun ṣe wí, ìpelé odò takasí pé wọ́n fa tsunami ni. Àwọn iṣe tsunami ti wọ́n ṣàkọsílẹ̀ ní tòsí Pago Pago àti Niue."
"No major damage or injuries have been reported in Tonga, but power was temporarily lost, which reportedly prevented Tongan authorities from receiving the tsunami warning issued by the PTWC.","Wọn ò jésì ìpalára tàbí ìjàmba púpọ̀jù ní Tonga, ṣùgbọ́n iná ṣẹ́jú fún ìgbà kan, tó mú kí àwọn aláṣẹ Tonga má rí ìkilọ̀ ìjì súnámì tí PWC gbéjáde."
Fourteen schools in Hawaii located on or near coastlines were closed all of Wednesday despite the warnings being lifted.,Àwọn ilé ìwé mẹ́rìnlà ní Hawaii tó wà ní tàbí tó wà ní ẹ̀gbẹ́ etí òkun ti jẹ́ títìpa ní ọjọ́rú pẹ̀lú bí wọ́n ṣe yọ ìkìlọ̀ kúrò.
U.S. President George W. Bush welcomed the announcement.,Ààrẹ orilé-ẹ̀dẹ̀ Améríkà George W. Bush gba ìkẹ́de náà wọlé.
"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula.""",Ẹni tó sọ̀rọ̀ fún Búsì Godoni Johanudro pé ilérí Koria Ariwa ní “ìgbésẹ̀ nlá sọ́na àlébá láti yọ irin ogún nukilia kúrò ní irekusu Koria.
"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.","Ìjì lílé kẹwàá ti sáà Atlantic Hurricane, Subtropical Storm Jerry, ni wọ́n sẹ̀dà ní ọ̀sà Atlantic lónìí."
The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.,Ibùdó Ìjì líli Orílẹ̀ èdè (NHC) sọ pé ní àsìkò yìí Jerry kò lè ṣe ǹkan kan ní orí ilẹ̀.
The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,"Àwọn ẹgbẹ́ ológun ilẹ̀ Amẹ́ríkà tí ẹ̀ka onímọ̀ ẹ̀rọ, ṣe ìṣirò pé tí òjọ̀ bá rọ ìwọ̀n íǹṣì mẹ́fà péré, yóò dí ojú ihò ewé tó ti bàjẹ́ tẹ́lẹ."
"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","Ìpín Kẹ̀sán, tó ní ìrírí ẹ̀kúnwọ́ tó ga tó ìwọ̀n bàtà ogún nínú ìjì líle Katrina, lọ́wọ́ lọ́wọ́ ti máa ní gíga tó ègbé ikùn bí ìdarí omi tó sún mọ́tí di bíbò mọ́lẹ. ."
Water is spilling over the levee in a section 100 feet wide.,Omi ń sàn lórí levee ní apá kan níwọ̀n fífẹ̀ ẹsẹ̀ ọgọ́rùn ún.
Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,Alákòóso tó wọ́pọ̀ Adam Cuerden ti fi ìpinlẹẹ̀mí ọkàn hàn lórí àwọn ìparẹ́ tó wáyé lákòókò tó ń sọ̀rọ̀ ní Wikinews lóṣù tó kọjá.
"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.""","“Ó [Wales] parọ́ fún wa láti ìbẹ̀rẹ̀. Àkọ́kọ́ nípa síseré àfi bí èyí wà fú idí òfin. Ìkejì, nípa dídíbọ́n pé òun gbọ́ wa títí di bí ó se pa iṣẹ́ ọnà rẹ́.”"
